idOrigen;idDestino;tiempoBase;mov1;mov2;mov3
e0;e1;11120;CAMINAR;;
e0;e5;400;SALTAR;;
e1;e2;60;PATAS_ARRIBA;;
e1;e6;350;CAMINAR;SALTAR;
e2;e3;80;CAMINAR;PATAS_ARRIBA;
e2;e7;420;SALTAR;PATAS_ARRIBA;
e3;e4;100;CAMINAR;SALTAR;PATAS_ARRIBA
e3;e8;500;CAMINAR;;
e4;e5;110;SALTAR;;
e4;e9;450;PATAS_ARRIBA;;
e5;e6;130;CAMINAR;SALTAR;
e5;e10;410;CAMINAR;PATAS_ARRIBA;
e6;e7;150;SALTAR;PATAS_ARRIBA;
e6;e11;380;CAMINAR;SALTAR;PATAS_ARRIBA
e7;e8;120;CAMINAR;;
e7;e12;430;SALTAR;;
e8;e9;90;PATAS_ARRIBA;;
e8;e13;400;CAMINAR;SALTAR;
e9;e10;100;CAMINAR;PATAS_ARRIBA;
e9;e14;460;SALTAR;PATAS_ARRIBA;
e10;e11;140;CAMINAR;SALTAR;PATAS_ARRIBA
e10;e15;410;CAMINAR;;
e11;e12;160;SALTAR;;
e11;e16;390;PATAS_ARRIBA;;
e12;e13;120;CAMINAR;SALTAR;
e12;e17;440;CAMINAR;PATAS_ARRIBA;
e13;e14;110;SALTAR;PATAS_ARRIBA;
e13;e18;410;CAMINAR;SALTAR;PATAS_ARRIBA
e14;e15;100;CAMINAR;;
e14;e19;480;SALTAR;;
e15;e16;130;PATAS_ARRIBA;;
e15;e20;430;CAMINAR;SALTAR;
e16;e17;150;CAMINAR;PATAS_ARRIBA;
e16;e21;400;SALTAR;PATAS_ARRIBA;
e17;e18;120;CAMINAR;SALTAR;PATAS_ARRIBA
e17;e22;450;CAMINAR;;
e18;e19;90;SALTAR;;
e18;e23;420;PATAS_ARRIBA;;
e19;e20;100;CAMINAR;SALTAR;
e19;e24;470;CAMINAR;PATAS_ARRIBA;
e20;e21;140;SALTAR;PATAS_ARRIBA;
e20;e25;430;CAMINAR;SALTAR;PATAS_ARRIBA
e21;e22;160;CAMINAR;;
e21;e26;400;SALTAR;;
e22;e23;120;PATAS_ARRIBA;;
e22;e27;460;CAMINAR;SALTAR;
e23;e24;110;CAMINAR;PATAS_ARRIBA;
e23;e28;420;SALTAR;PATAS_ARRIBA;
e24;e25;100;CAMINAR;SALTAR;PATAS_ARRIBA
e24;e29;490;CAMINAR;;
e25;e26;130;SALTAR;;
e25;e30;440;PATAS_ARRIBA;;
e26;e27;150;CAMINAR;SALTAR;
e26;e31;400;CAMINAR;PATAS_ARRIBA;
e27;e28;120;SALTAR;PATAS_ARRIBA;
e27;e0;500;CAMINAR;SALTAR;PATAS_ARRIBA
e28;e29;90;CAMINAR;;
e28;e1;520;SALTAR;;
e29;e30;100;PATAS_ARRIBA;;
e29;e2;510;CAMINAR;SALTAR;
e30;e31;140;CAMINAR;PATAS_ARRIBA;
e30;e3;530;SALTAR;PATAS_ARRIBA;
e31;e0;160;CAMINAR;SALTAR;PATAS_ARRIBA
e31;e4;500;CAMINAR;;
