idUnico;nombre;esAula;idNumerica
e0;Aula 633;true;633
e1;Starbucks;false;1
e2;Molinete Lima 3;false;3
e3;Aula 613;true;613
e4;Aula 101;true;101
e5;Aula 102;true;102
e6;Biblioteca;false;4
e7;Aula 103;true;103
e8;Aula 104;true;104
e9;Aula 201;true;201
e10;Aula 202;true;202
e11;GIMNASIO;false;5
e12;Aula 203;true;203
e13;Aula 204;true;204
e14;Aula 301;true;301
e15;Aula 302;true;302
e16;LA SEDE;false;6
e17;Aula 303;true;303
e18;Aula 304;true;304
e19;Aula 401;true;401
e20;Aula 402;true;402
e21;Sala de Profesores;false;7
e22;Aula 403;true;403
e23;Aula 404;true;404
e24;Aula 501;true;501
e25;Aula 502;true;502
e26;SANTANDER;false;8
e27;Aula 503;true;503
e28;Aula 504;true;504
e29;Aula 701;true;701
e30;Aula 702;true;702
e31;EXPERIENCE;false;9
